946702800,Clear,0,0,64.64,64.67,59.1,0.82,1021.5,2.8,83,0.01,0,6.769,-1
946789200,Clear,0,0,68.12,68.47,62.33,0.82,1023.1,5.04,88,0.03,0,9.997,-1
946875600,Partly Cloudy,0,0,64.92,65.34,61.92,0.9,1022.2,5.78,81,0.42,0,9.997,-1
946962000,Mostly Cloudy,0,0,73.22,74.42,69.78,0.89,1020.2,10.24,125,0.82,0,9.997,-1
947048400,Partly Cloudy,0,0,71.08,72.03,67.43,0.88,1019.9,1.1,196,0.42,0,9.997,-1
947134800,Drizzle,0.0004,0.95,72.15,72.9,66.23,0.82,1022.2,13.99,79,0.96,0,9.997,-1
947221200,Clear,0,0,71.97,72.73,66.29,0.82,1023.9,8.96,116,0.23,0,9.997,-1
947307600,Clear,0,0,70.21,70.78,64.37,0.82,1023.1,3.33,143,0.14,0,9.997,-1
947394000,Clear,0,0,68.96,69.4,63.13,0.82,1021.4,2.73,119,0.3,0,9.997,-1
947480400,Clear,0,0,69.28,70.15,66.27,0.9,1019.3,4.02,172,0,0,9.997,-1
947566800,Clear,0,0,68.67,69.54,66.09,0.91,1020,4.17,216,0,0,9.997,-1
947653200,Clear,0,0,67.25,67.53,61.57,0.82,1022.4,0.16,-1,0,0,9.997,-1
947739600,Clear,0,0,64.05,64.09,59.04,0.84,1023.4,0,-1,0,0,9.997,-1
947826000,Drizzle,0.0086,0.73,65.7,66.36,63.76,0.93,1023.5,1.01,274,0,0,9.997,-1
947912400,Overcast,0,0,64.42,64.42,45.14,0.5,1031.6,20.21,43,1,0,9.997,-1
947998800,Drizzle,0.0004,1,64.86,64.86,49.5,0.58,1031.8,14.46,66,0.98,0,9.997,-1
948085200,Clear,0,0,59.48,59.48,52.61,0.78,1027.3,5.52,349,0.07,0,9.997,-1
948171600,Clear,0,0,59.38,59.38,48.87,0.68,1024.1,2.85,283,0,0,9.997,-1
948258000,Clear,0,0,60.48,60.48,55.44,0.83,1019.9,7.37,280,0,0,9.997,-1
948344400,Clear,0,0,62.77,63.11,60.67,0.93,1016.5,7.35,250,0,0,9.997,-1
948430800,Clear,0,0,60.33,60.33,50.16,0.69,1014.9,12.6,316,0,0,9.997,-1
948517200,Clear,0,0,53.19,53.19,44.6,0.73,1020.2,6.63,359,0,0,9.997,-1
948603600,Clear,0,0,61.66,61.66,53.56,0.75,1020.1,2.75,150,0.15,0,9.997,-1
